id,name,category,skin type,concerns,ingredients,description,product_url
20,Skintific Symwhite 377 Dark Spot Moisturizer Gel,Moisturizer,normal oily combination dry,dark spots uneven skin tone dull skin excess oil early signs of aging,"symwhite377, glutathione, tranexamic acid, ceramide","Pelembap untuk kulit kusam dan noda hitam. Mengandung symwhite 377, glutathione, tranexamic acid, dan ceramide untuk membantu mencerahkan kulit, menyamarkan noda, dan menjaga kelembapan kulit.",https://www.skintificindonesia.com/shop/pelembab-skintific/moist-skintific-symwhite-377-dark-spot-moisturizer-gel/
21,Skintific MSH Niacinamide Brightening Moisturizer Gel,Moisturizer,normal oily combination dry,dull skin dark spots acne scars uneven skin tone redness,"msh niacinamide, alpha arbutin, tranexamic acid","Pelembap untuk kulit kusam dan noda hitam. Mengandung niacinamide, alpha arbutin, dan tranexamic acid untuk membantu mencerahkan kulit, menyamarkan noda, dan meratakan warna kulit.",https://www.skintificindonesia.com/shop/pelembab-skintific/pelembab-skintific-msh-niacinamide-brightening-moisturizer-gel/
22,Skintific 5% Panthenol Acne Calming Water Gel,Moisturizer,oily combination acne-prone sensitive,acne redness irritation excess oil damaged skin barrier,"panthenol, ectoin, ceramide, centella","Pelembap untuk kulit berjerawat dan sensitif. Mengandung panthenol, ectoin, dan ceramide untuk membantu menenangkan kulit, mengontrol minyak, dan menjaga skin barrier.",https://www.skintificindonesia.com/shop/pelembab-skintific/moist-skintific-5-panthenol-acne-calming-water-gel-45g/
23,Skintific 3X Acid Acne-Care Gel Moisturizer,Moisturizer,normal oily combination dry,acne redness inflammation excess oil clogged pores acne scars,"salicylic acid, lactic acid, glycolic acid, lactobionic acid, ectoin, panthenol, centella asiatica","Pelembap untuk kulit berjerawat dan berminyak. Mengandung salicylic acid, lactic acid, dan ectoin untuk membantu merawat jerawat, mengontrol minyak, dan menjaga kelembapan kulit.",https://www.skintificindonesia.com/shop/pelembab-skintific/skintific-3x-acid-anti-acne-gel-moisturizer-30gr/
24,Skintific Sensitive Moisture Gel 40ml,Moisturizer,dry sensitive combination,sensitive skin redness irritation damaged skin barrier dehydration acne,"vitamin b12, bisabolol, ectoin, centella asiatica, ceramide ns","Pelembap untuk kulit sensitif dan mudah iritasi. Mengandung vitamin B12, bisabolol, ectoin, centella asiatica, dan ceramide NS untuk membantu menenangkan kulit, menjaga kelembapan, memperkuat skin barrier, dan mengurangi kemerahan.",https://www.skintificindonesia.com/shop/pelembab-skintific/skintific-sensitive-moisture-gel-40ml/
25,Skintific Truffle Biome Skin Reborn Cream Gel Moisturizer,Moisturizer,normal dry combination sensitive,dehydration dry skin damaged skin barrier dull skin rough texture,"truffle, ceramide, hyaluronic acid, antioxidant","Pelembap untuk kulit kering dan dehidrasi. Mengandung truffle, 5X ceramide, dan hyaluronic acid untuk membantu menjaga kelembapan kulit, memperkuat skin barrier, dan melindungi kulit dari radikal bebas agar terasa lebih sehat dan kenyal.",https://www.skintificindonesia.com/shop/pelembab-skintific/pelembab-skintific-truffle-biome-skin-reborn-cream-gel-moisturizer/
26,Skintific Mugwort Acne Clay Stick 40g,Mask,oily combination acne-prone,acne blackheads clogged pores excess oil redness,"mugwort, salicylic acid, niacinamide","Masker untuk kulit berjerawat dan berminyak. Mengandung mugwort, salicylic acid, dan niacinamide untuk membantu membersihkan pori-pori, merawat jerawat, dan menenangkan kulit.",https://www.skintificindonesia.com/shop/masker/skintific-mugwort-acne-clay-stick-40g/
27,Skintific Alaska Volcano Pore Clay Stick 40g,Mask,oily combination normal,clogged pores excess oil blackheads dull skin uneven skin texture,"glycolic acid, probiotic complex, alaska volcanic clay","Masker untuk kulit berminyak dan kusam. Mengandung glycolic acid, probiotic complex, dan black charcoal untuk membantu membersihkan pori-pori, mengangkat kotoran, dan membuat kulit terasa lebih halus.",https://www.skintificindonesia.com/shop/masker/skintific-alaska-volcano-pore-clay-stick-40g/
28,Skintific 5X Ceramide Soothing & Repairing Mask,Mask,dry sensitive combination,sensitive skin redness irritation dehydration damaged skin barrier dry skin peeling skin,"ceramide, aloe vera","Masker untuk kulit sensitif dan kering. Mengandung 5X ceramide dan aloe vera untuk membantu menenangkan kulit, menjaga kelembapan, memperkuat skin barrier, dan mengurangi kemerahan serta iritasi.",https://www.skintificindonesia.com/shop/masker/skintific-5x-ceramide-soothing-repairing-mask/
29,Skintific Sunscreen 5X Ceramide Serum SPF 50 PA++++,Sunscreen,normal oily combination dry sensitive,sun exposure damaged skin barrier dehydration sensitive skin excess oil,"ceramide, tinosorb, hyaluronic acid","Sunscreen untuk penggunaan harian pada semua jenis kulit. Mengandung 5X ceramide, tinosorb, dan hyaluronic acid untuk membantu melindungi kulit dari sinar UV, menjaga kelembapan kulit, dan memperkuat skin barrier.",https://www.skintificindonesia.com/shop/ceramide/skintific-5x-ceramide-serum-sunscreen-spf50-pa/
30,Skintific Sunscreen Ultra Light Serum SPF 50 PA++++,Sunscreen,oily sensitive combination normal,sun exposure dull skin early aging excess oil,"uva/uvb filters, vc, ferulic acid","Sunscreen untuk penggunaan harian pada kulit berminyak dan sensitif. Mengandung UV filter, vitamin C, dan ferulic acid untuk membantu melindungi kulit dari sinar UV dan menjaga kulit tetap halus.",https://www.skintificindonesia.com/shop/sunscreen/skintific-suncreen-ultra-light-serum-spf-50-pa/
31,Skintific Sunscreen Spray All Day Light Mist Spf 50 PA++++ 120 ml,Sunscreen,normal oily combination sensitive,sun exposure excess oil sensitive skin dehydration,"ceramide, centella asiatica, bisabolol, uv pearl","Sunscreen untuk penggunaan harian pada kulit normal hingga berminyak. Mengandung ceramide, centella asiatica, bisabolol, dan bifida ferment lysate untuk membantu melindungi kulit dari sinar UV, menjaga kelembapan, dan menenangkan kulit tanpa rasa berminyak.",https://www.skintificindonesia.com/shop/sunscreen/skintific-sunscreen-spry-all-day-light-mist-spf-50-pa-120-ml/
32,Skintific Sunblock Outdoor Sunscreen Spray SPF 50+ PA++++,Sunscreen,normal oily combination,sun exposure excess oil damaged skin barrier dehydration,"uv filter, ceramide","Sunscreen untuk penggunaan harian pada kulit normal hingga berminyak. Mengandung UV filter dan 5X ceramide untuk membantu melindungi kulit dari sinar UVA dan UVB, menjaga kelembapan kulit, dan memperkuat skin barrier tanpa rasa lengket atau berminyak.",https://www.skintificindonesia.com/shop/sunscreen/skintific-sunblock-outdoor-sunscreen-spray-spf-50-pa/
